"","year","month","spei"
"1",1901,1,NA
"2",1901,2,NA
"3",1901,3,NA
"4",1901,4,NA
"5",1901,5,NA
"6",1901,6,NA
"7",1901,7,NA
"8",1901,8,NA
"9",1901,9,NA
"10",1901,10,NA
"11",1901,11,NA
"12",1901,12,0.809708893299103
"13",1902,1,0.743694722652435
"14",1902,2,1.05564701557159
"15",1902,3,0.835030317306519
"16",1902,4,0.741130173206329
"17",1902,5,1.44085907936096
"18",1902,6,1.45466709136963
"19",1902,7,1.71110665798187
"20",1902,8,1.34294807910919
"21",1902,9,0.688983917236328
"22",1902,10,1.11445665359497
"23",1902,11,0.885044038295746
"24",1902,12,0.362926065921783
"25",1903,1,0.408457905054092
"26",1903,2,-0.136868074536324
"27",1903,3,-0.314487278461456
"28",1903,4,0.31961116194725
"29",1903,5,-0.344253778457642
"30",1903,6,-0.63300883769989
"31",1903,7,-0.504455208778381
"32",1903,8,-0.414209961891174
"33",1903,9,-0.433314681053162
"34",1903,10,-0.689718723297119
"35",1903,11,0.0245298538357019
"36",1903,12,0.845720589160919
"37",1904,1,0.901612639427185
"38",1904,2,1.4042706489563
"39",1904,3,1.55804491043091
"40",1904,4,1.14850699901581
"41",1904,5,1.27149987220764
"42",1904,6,1.27439606189728
"43",1904,7,0.531206786632538
"44",1904,8,1.0936336517334
"45",1904,9,1.34532499313354
"46",1904,10,1.42193937301636
"47",1904,11,0.835611879825592
"48",1904,12,0.177571877837181
"49",1905,1,-0.0542508289217949
"50",1905,2,-0.49087318778038
"51",1905,3,-0.530864834785461
"52",1905,4,-0.361017465591431
"53",1905,5,-0.168122321367264
"54",1905,6,-0.136702865362167
"55",1905,7,0.0591747649013996
"56",1905,8,-0.434907525777817
"57",1905,9,-0.335897237062454
"58",1905,10,0.264389425516129
"59",1905,11,1.3631899356842
"60",1905,12,1.19250571727753
"61",1906,1,1.45766746997833
"62",1906,2,1.53257787227631
"63",1906,3,1.53124761581421
"64",1906,4,1.36112415790558
"65",1906,5,1.33988046646118
"66",1906,6,1.37312638759613
"67",1906,7,1.78764402866364
"68",1906,8,1.61939084529877
"69",1906,9,1.66367030143738
"70",1906,10,0.720101952552795
"71",1906,11,-0.00864831823855639
"72",1906,12,0.889855861663818
"73",1907,1,0.781398236751556
"74",1907,2,0.656817495822906
"75",1907,3,0.328733086585999
"76",1907,4,1.00636875629425
"77",1907,5,0.94749927520752
"78",1907,6,0.642049014568329
"79",1907,7,0.361179798841476
"80",1907,8,0.0127773014828563
"81",1907,9,-0.39354681968689
"82",1907,10,-0.00574270961806178
"83",1907,11,-0.435181885957718
"84",1907,12,-0.754480123519897
"85",1908,1,-0.992834687232971
"86",1908,2,-0.901457011699677
"87",1908,3,-0.564931929111481
"88",1908,4,-0.506068885326385
"89",1908,5,-0.92237401008606
"90",1908,6,-1.01767838001251
"91",1908,7,-1.13551831245422
"92",1908,8,-0.0368031226098537
"93",1908,9,-0.0807677358388901
"94",1908,10,-0.602722942829132
"95",1908,11,-0.379619985818863
"96",1908,12,-0.712157845497131
"97",1909,1,-0.450043141841888
"98",1909,2,-0.678991317749023
"99",1909,3,-0.635608851909637
"100",1909,4,-1.39893662929535
"101",1909,5,-1.03241503238678
